num_records,cores,executor_memory_gb,partitions,partition_efficiency,skewness,joins,cache_enabled,group_cardinality,num_aggregations,has_orderby,filter_selectivity,data_size_gb,shuffle_size_mb,shuffle_intensity,memory_pressure,execution_time
500000,4,4,12,3.0,0.7811203000123571,1,0,1000,2,0,0.81,0.0466,25.0,0.0466,0.0116,1.3065
500000,2,4,12,6.0,0.4402777379369358,2,1,1000,3,1,0.75,0.0466,50.0,0.0931,0.0116,1.7274
3000000,2,2,8,4.0,0.4340862029132081,3,0,1000,2,0,0.91,0.2794,450.0,0.8382,0.1397,1.4755
1000000,1,6,4,4.0,0.1062400355368365,3,1,5000,2,1,0.71,0.0931,150.0,0.2794,0.0155,1.0241
20000000,1,4,4,4.0,0.5820751432610399,3,0,20000,3,1,0.82,1.8626,3000.0,5.5879,0.4657,10.7618
10000000,1,4,5,5.0,0.1313890632382868,3,1,5000,2,0,0.34,0.9313,1500.0,2.794,0.2328,4.0183
10000000,4,4,20,5.0,0.4781669898859613,3,0,20000,1,1,0.82,0.9313,1500.0,2.794,0.2328,2.8383
1000000,2,2,8,4.0,0.4341529517652285,2,0,5000,1,0,0.64,0.0931,100.0,0.1863,0.0466,1.3416
3000000,4,2,16,4.0,0.4340862029132081,3,0,1000,2,0,0.91,0.2794,450.0,0.8382,0.1397,1.8902
1000000,6,4,24,4.0,0.1558668744459873,2,1,100,4,0,0.9,0.0931,100.0,0.1863,0.0233,1.0013
20000000,2,8,8,4.0,0.3759904498452361,3,1,100,2,1,0.49,1.8626,3000.0,5.5879,0.2328,1.0173
20000000,4,4,24,6.0,0.4137895374182734,2,1,5000,2,0,1.0,1.8626,2000.0,3.7253,0.4657,2.5481
5000000,1,4,4,4.0,0.2384215120384351,1,1,5000,2,0,0.41,0.4657,250.0,0.4657,0.1164,2.9444
3000000,4,4,24,6.0,0.3835887937686081,2,1,100,1,1,0.76,0.2794,300.0,0.5588,0.0698,1.2184
500000,6,2,24,4.0,0.4676230278904855,1,1,20000,1,0,0.36,0.0466,25.0,0.0466,0.0233,2.1198
20000000,6,2,18,3.0,0.5931227925935997,1,1,5000,1,1,0.38,1.8626,1000.0,1.8626,0.9313,1.8397
20000000,2,2,4,2.0,0.7222571613254173,3,1,100,3,1,0.37,1.8626,3000.0,5.5879,0.9313,0.6545
20000000,6,4,12,2.0,0.7006838039889206,3,0,20000,1,0,0.56,1.8626,3000.0,5.5879,0.4657,2.3294
500000,4,8,12,3.0,0.6610451854172503,1,1,1000,4,1,0.71,0.0466,25.0,0.0466,0.0058,1.0133
1000000,4,4,16,4.0,0.1062400355368365,3,1,5000,2,1,0.71,0.0931,150.0,0.2794,0.0233,1.6253
1000000,6,4,24,4.0,0.7045634420772358,2,1,5000,3,0,0.85,0.0931,100.0,0.1863,0.0233,2.0602
5000000,6,8,12,2.0,0.7944229589821639,3,1,20000,2,1,0.91,0.4657,750.0,1.397,0.0582,1.175
20000000,4,4,12,3.0,0.3610929363680432,2,0,5000,4,0,0.41,1.8626,2000.0,3.7253,0.4657,2.8928
5000000,4,4,12,3.0,0.148174050915622,3,1,1000,4,1,0.46,0.4657,750.0,1.397,0.1164,1.5394
500000,1,2,2,2.0,0.1676874454774873,3,1,1000,3,0,0.78,0.0466,75.0,0.1397,0.0233,1.7917
10000000,6,6,18,3.0,0.505974064535326,3,0,20000,3,0,0.88,0.9313,1500.0,2.794,0.1552,2.1985
20000000,2,2,12,6.0,0.5975128472818177,3,1,1000,2,1,0.5,1.8626,3000.0,5.5879,0.9313,2.0004
3000000,4,2,24,6.0,0.236494282916411,2,0,1000,2,0,0.83,0.2794,300.0,0.5588,0.1397,2.5824
3000000,1,2,4,4.0,0.6239543637961594,2,0,20000,1,0,0.76,0.2794,300.0,0.5588,0.1397,4.5329
3000000,2,2,12,6.0,0.236494282916411,2,0,1000,2,0,0.83,0.2794,300.0,0.5588,0.1397,1.9428
10000000,2,4,4,2.0,0.3268704468850004,1,1,5000,2,1,0.65,0.9313,500.0,0.9313,0.2328,0.906
5000000,1,4,3,3.0,0.1199918229198044,2,0,20000,2,0,0.4,0.4657,500.0,0.9313,0.1164,3.8716
20000000,6,6,12,2.0,0.7222571613254173,3,1,100,3,1,0.37,1.8626,3000.0,5.5879,0.3104,0.7231
5000000,1,4,3,3.0,0.5257418774464064,2,0,100,4,0,0.4,0.4657,500.0,0.9313,0.1164,3.32
5000000,4,8,12,3.0,0.4165413024553189,3,0,20000,1,1,0.8,0.4657,750.0,1.397,0.0582,1.7725
5000000,2,6,8,4.0,0.379294917468563,1,0,5000,3,0,0.89,0.4657,250.0,0.4657,0.0776,1.7917
20000000,4,6,20,5.0,0.5254873723615205,3,0,100,2,0,0.72,1.8626,3000.0,5.5879,0.3104,2.8494
3000000,1,4,5,5.0,0.7357188571789336,3,0,20000,3,0,0.68,0.2794,450.0,0.8382,0.0698,4.4798
500000,4,4,16,4.0,0.3298524467399322,1,1,20000,1,0,0.88,0.0466,25.0,0.0466,0.0116,1.6853
100000,6,4,18,3.0,0.3942017709594156,3,0,5000,4,1,0.99,0.0093,15.0,0.0279,0.0023,1.6936
20000000,4,4,20,5.0,0.7308576571092729,3,1,20000,1,1,0.37,1.8626,3000.0,5.5879,0.4657,2.3217
10000000,2,4,10,5.0,0.1166455932650289,3,1,20000,4,0,0.79,0.9313,1500.0,2.794,0.2328,1.6869
500000,6,6,36,6.0,0.55017510114841,2,0,100,2,1,0.71,0.0466,50.0,0.0931,0.0078,1.719
5000000,2,4,10,5.0,0.7716980543928428,2,1,100,2,0,0.62,0.4657,500.0,0.9313,0.1164,0.794
500000,6,4,36,6.0,0.55017510114841,2,0,100,2,1,0.71,0.0466,50.0,0.0931,0.0116,1.6363
1000000,6,6,18,3.0,0.3267366860983245,1,1,20000,4,1,0.98,0.0931,50.0,0.0931,0.0155,1.8567
20000000,6,4,24,4.0,0.7438005632940293,1,0,20000,4,1,0.42,1.8626,1000.0,1.8626,0.4657,3.3769
20000000,4,2,24,6.0,0.7525673736794709,1,1,5000,3,0,0.91,1.8626,1000.0,1.8626,0.9313,2.8783
1000000,1,6,2,2.0,0.6954246484829111,2,1,20000,3,1,0.47,0.0931,100.0,0.1863,0.0155,0.5896
1000000,2,2,10,5.0,0.5599734534690397,1,1,100,4,1,0.81,0.0931,50.0,0.0931,0.0466,0.6738
5000000,4,2,24,6.0,0.2633309933563058,1,0,20000,1,1,0.64,0.4657,250.0,0.4657,0.2328,2.8221
10000000,6,2,12,2.0,0.3964969247300042,3,1,20000,2,1,0.69,0.9313,1500.0,2.794,0.4657,1.2404
1000000,6,8,12,2.0,0.6287650550281458,3,1,20000,1,0,0.44,0.0931,150.0,0.2794,0.0116,1.2152
3000000,2,6,6,3.0,0.7881675248471411,3,0,20000,4,1,0.37,0.2794,450.0,0.8382,0.0466,1.2385
5000000,2,4,8,4.0,0.2704500055134182,2,0,1000,4,0,0.37,0.4657,500.0,0.9313,0.1164,1.6284
10000000,2,2,10,5.0,0.7113207175314792,3,0,5000,4,1,0.64,0.9313,1500.0,2.794,0.4657,3.0642
1000000,6,6,24,4.0,0.7045634420772358,2,1,5000,3,0,0.85,0.0931,100.0,0.1863,0.0155,2.2316
1000000,4,2,8,2.0,0.6954246484829111,2,1,20000,3,1,0.47,0.0931,100.0,0.1863,0.0466,0.95
500000,1,4,4,4.0,0.6708776002686824,2,1,20000,3,1,0.64,0.0466,50.0,0.0931,0.0116,2.8141
10000000,1,2,5,5.0,0.3988667227355761,3,1,5000,1,1,0.5,0.9313,1500.0,2.794,0.4657,4.4012
10000000,4,4,12,3.0,0.505974064535326,3,0,20000,3,0,0.88,0.9313,1500.0,2.794,0.2328,1.9626
500000,6,6,24,4.0,0.6708776002686824,2,1,20000,3,1,0.64,0.0466,50.0,0.0931,0.0078,2.0361
500000,2,6,6,3.0,0.2451268861556198,1,1,20000,1,1,0.54,0.0466,25.0,0.0466,0.0078,0.9323
5000000,6,6,18,3.0,0.1199918229198044,2,0,20000,2,0,0.4,0.4657,500.0,0.9313,0.0776,2.2525
100000,4,8,16,4.0,0.8651526901522647,2,0,20000,3,0,0.36,0.0093,10.0,0.0186,0.0012,1.3235
500000,2,8,6,3.0,0.6610451854172503,1,1,1000,4,1,0.71,0.0466,25.0,0.0466,0.0058,0.8642
3000000,1,2,5,5.0,0.3310755746823559,3,0,20000,4,1,0.88,0.2794,450.0,0.8382,0.1397,5.3117
5000000,6,4,18,3.0,0.6544606666576274,3,1,20000,3,1,0.55,0.4657,750.0,1.397,0.1164,1.8487
100000,6,6,12,2.0,0.1494249222387468,3,1,20000,2,0,0.6,0.0093,15.0,0.0279,0.0016,1.1132
500000,2,6,8,4.0,0.6325230934220702,3,0,5000,2,0,0.89,0.0466,75.0,0.1397,0.0078,1.2152
5000000,2,2,6,3.0,0.148174050915622,3,1,1000,4,1,0.46,0.4657,750.0,1.397,0.2328,1.0219
10000000,6,8,30,5.0,0.1166455932650289,3,1,20000,4,0,0.79,0.9313,1500.0,2.794,0.1164,2.9704
5000000,4,6,12,3.0,0.6272162358109069,3,0,100,3,0,0.79,0.4657,750.0,1.397,0.0776,1.0275
20000000,4,4,16,4.0,0.3759904498452361,3,1,100,2,1,0.49,1.8626,3000.0,5.5879,0.4657,1.0802
3000000,2,4,12,6.0,0.1998807944668474,3,1,100,2,1,0.79,0.2794,450.0,0.8382,0.0698,0.8636
500000,1,4,6,6.0,0.4431714165572958,2,0,100,1,0,0.92,0.0466,50.0,0.0931,0.0116,2.3642
20000000,4,8,16,4.0,0.5820751432610399,3,0,20000,3,1,0.82,1.8626,3000.0,5.5879,0.2328,3.3868
5000000,4,8,24,6.0,0.7825648062833461,1,1,20000,3,1,0.81,0.4657,250.0,0.4657,0.0582,2.2353
20000000,1,6,2,2.0,0.7973559564054754,1,1,100,2,0,0.66,1.8626,1000.0,1.8626,0.3104,0.7923
20000000,6,8,12,2.0,0.7435469064821366,2,1,20000,2,1,1.0,1.8626,2000.0,3.7253,0.2328,1.4613
